"id_name","dates_yes","rsvp_yes_count","id","event_date","yes_year","days_to_event","dates_yes_cumsum","yes_day","yes_month","dates_yes_otheryear","relative_today_cumsum","yes_year_factor"
"AF15",2015-01-16,3,"219885748",2015-03-14,2015,57,3,16,1,2020-01-16,23,"2015"
"AF15",2015-01-17,3,"219885748",2015-03-14,2015,56,6,17,1,2020-01-17,23,"2015"
"AF15",2015-01-18,1,"219885748",2015-03-14,2015,55,7,18,1,2020-01-18,23,"2015"
"AF15",2015-01-19,1,"219885748",2015-03-14,2015,54,8,19,1,2020-01-19,23,"2015"
"AF15",2015-01-26,1,"219885748",2015-03-14,2015,47,9,26,1,2020-01-26,23,"2015"
"AF15",2015-01-27,1,"219885748",2015-03-14,2015,46,10,27,1,2020-01-27,23,"2015"
"AF15",2015-01-28,1,"219885748",2015-03-14,2015,45,11,28,1,2020-01-28,23,"2015"
"AF15",2015-02-03,1,"219885748",2015-03-14,2015,39,12,3,2,2020-02-03,23,"2015"
"AF15",2015-02-04,1,"219885748",2015-03-14,2015,38,13,4,2,2020-02-04,23,"2015"
"AF15",2015-02-07,1,"219885748",2015-03-14,2015,35,14,7,2,2020-02-07,23,"2015"
"AF15",2015-02-10,1,"219885748",2015-03-14,2015,32,15,10,2,2020-02-10,23,"2015"
"AF15",2015-02-13,1,"219885748",2015-03-14,2015,29,16,13,2,2020-02-13,23,"2015"
"AF15",2015-02-14,1,"219885748",2015-03-14,2015,28,17,14,2,2020-02-14,23,"2015"
"AF15",2015-02-18,1,"219885748",2015-03-14,2015,24,18,18,2,2020-02-18,23,"2015"
"AF15",2015-02-21,1,"219885748",2015-03-14,2015,21,19,21,2,2020-02-21,23,"2015"
"AF15",2015-02-23,2,"219885748",2015-03-14,2015,19,21,23,2,2020-02-23,23,"2015"
"AF15",2015-02-25,2,"219885748",2015-03-14,2015,17,23,25,2,2020-02-25,23,"2015"
"AF15",2015-02-26,1,"219885748",2015-03-14,2015,16,24,26,2,2020-02-26,23,"2015"
"AF15",2015-02-27,2,"219885748",2015-03-14,2015,15,26,27,2,2020-02-27,23,"2015"
"AF15",2015-03-01,1,"219885748",2015-03-14,2015,13,27,1,3,2020-03-01,23,"2015"
"AF15",2015-03-03,1,"219885748",2015-03-14,2015,11,28,3,3,2020-03-03,23,"2015"
"AF15",2015-03-04,3,"219885748",2015-03-14,2015,10,31,4,3,2020-03-04,23,"2015"
"AF15",2015-03-05,1,"219885748",2015-03-14,2015,9,32,5,3,2020-03-05,23,"2015"
"AF15",2015-03-08,2,"219885748",2015-03-14,2015,6,34,8,3,2020-03-08,23,"2015"
"AF15",2015-03-09,2,"219885748",2015-03-14,2015,5,36,9,3,2020-03-09,23,"2015"
"AF15",2015-03-10,3,"219885748",2015-03-14,2015,4,39,10,3,2020-03-10,23,"2015"
"AF15",2015-03-12,1,"219885748",2015-03-14,2015,2,40,12,3,2020-03-12,23,"2015"
"AF15",2015-03-13,2,"219885748",2015-03-14,2015,1,42,13,3,2020-03-13,23,"2015"
"AF16",2016-01-29,17,"228455037",2016-03-12,2016,43,17,29,1,2020-01-29,58,"2016"
"AF16",2016-01-30,1,"228455037",2016-03-12,2016,42,18,30,1,2020-01-30,58,"2016"
"AF16",2016-02-01,1,"228455037",2016-03-12,2016,40,19,1,2,2020-02-01,58,"2016"
"AF16",2016-02-03,3,"228455037",2016-03-12,2016,38,22,3,2,2020-02-03,58,"2016"
"AF16",2016-02-04,1,"228455037",2016-03-12,2016,37,23,4,2,2020-02-04,58,"2016"
"AF16",2016-02-05,2,"228455037",2016-03-12,2016,36,25,5,2,2020-02-05,58,"2016"
"AF16",2016-02-06,2,"228455037",2016-03-12,2016,35,27,6,2,2020-02-06,58,"2016"
"AF16",2016-02-07,1,"228455037",2016-03-12,2016,34,28,7,2,2020-02-07,58,"2016"
"AF16",2016-02-08,3,"228455037",2016-03-12,2016,33,31,8,2,2020-02-08,58,"2016"
"AF16",2016-02-09,2,"228455037",2016-03-12,2016,32,33,9,2,2020-02-09,58,"2016"
"AF16",2016-02-10,4,"228455037",2016-03-12,2016,31,37,10,2,2020-02-10,58,"2016"
"AF16",2016-02-13,1,"228455037",2016-03-12,2016,28,38,13,2,2020-02-13,58,"2016"
"AF16",2016-02-14,1,"228455037",2016-03-12,2016,27,39,14,2,2020-02-14,58,"2016"
"AF16",2016-02-15,1,"228455037",2016-03-12,2016,26,40,15,2,2020-02-15,58,"2016"
"AF16",2016-02-16,5,"228455037",2016-03-12,2016,25,45,16,2,2020-02-16,58,"2016"
"AF16",2016-02-17,3,"228455037",2016-03-12,2016,24,48,17,2,2020-02-17,58,"2016"
"AF16",2016-02-18,6,"228455037",2016-03-12,2016,23,54,18,2,2020-02-18,58,"2016"
"AF16",2016-02-19,1,"228455037",2016-03-12,2016,22,55,19,2,2020-02-19,58,"2016"
"AF16",2016-02-22,1,"228455037",2016-03-12,2016,19,56,22,2,2020-02-22,58,"2016"
"AF16",2016-02-23,1,"228455037",2016-03-12,2016,18,57,23,2,2020-02-23,58,"2016"
"AF16",2016-02-24,1,"228455037",2016-03-12,2016,17,58,24,2,2020-02-24,58,"2016"
"AF16",2016-02-26,11,"228455037",2016-03-12,2016,15,69,26,2,2020-02-26,58,"2016"
"AF16",2016-02-27,1,"228455037",2016-03-12,2016,14,70,27,2,2020-02-27,58,"2016"
"AF16",2016-02-28,1,"228455037",2016-03-12,2016,13,71,28,2,2020-02-28,58,"2016"
"AF16",2016-02-29,6,"228455037",2016-03-12,2016,12,77,29,2,2020-02-29,58,"2016"
"AF16",2016-03-01,4,"228455037",2016-03-12,2016,11,81,1,3,2020-03-01,58,"2016"
"AF16",2016-03-02,6,"228455037",2016-03-12,2016,10,87,2,3,2020-03-02,58,"2016"
"AF16",2016-03-03,2,"228455037",2016-03-12,2016,9,89,3,3,2020-03-03,58,"2016"
"AF16",2016-03-04,2,"228455037",2016-03-12,2016,8,91,4,3,2020-03-04,58,"2016"
"AF16",2016-03-05,2,"228455037",2016-03-12,2016,7,93,5,3,2020-03-05,58,"2016"
"AF16",2016-03-06,2,"228455037",2016-03-12,2016,6,95,6,3,2020-03-06,58,"2016"
"AF16",2016-03-07,11,"228455037",2016-03-12,2016,5,106,7,3,2020-03-07,58,"2016"
"AF16",2016-03-08,7,"228455037",2016-03-12,2016,4,113,8,3,2020-03-08,58,"2016"
"AF16",2016-03-09,1,"228455037",2016-03-12,2016,3,114,9,3,2020-03-09,58,"2016"
"AF16",2016-03-10,2,"228455037",2016-03-12,2016,2,116,10,3,2020-03-10,58,"2016"
"AF16",2016-03-11,8,"228455037",2016-03-12,2016,1,124,11,3,2020-03-11,58,"2016"
"AF17",2017-01-22,1,"237118943",2017-03-11,2017,48,1,22,1,2020-01-22,34,"2017"
"AF17",2017-01-25,3,"237118943",2017-03-11,2017,45,4,25,1,2020-01-25,34,"2017"
"AF17",2017-02-02,7,"237118943",2017-03-11,2017,37,11,2,2,2020-02-02,34,"2017"
"AF17",2017-02-03,2,"237118943",2017-03-11,2017,36,13,3,2,2020-02-03,34,"2017"
"AF17",2017-02-05,3,"237118943",2017-03-11,2017,34,16,5,2,2020-02-05,34,"2017"
"AF17",2017-02-07,1,"237118943",2017-03-11,2017,32,17,7,2,2020-02-07,34,"2017"
"AF17",2017-02-08,2,"237118943",2017-03-11,2017,31,19,8,2,2020-02-08,34,"2017"
