"yes_weekday_factor","dates_yes_cumsum_week","yes_year_factor"
"Sun",4,"2015"
"Mon",6,"2015"
"Tue",7,"2015"
"Wed",8,"2015"
"Thu",3,"2015"
"Fri",8,"2015"
"Sat",6,"2015"
"Sun",5,"2016"
"Mon",23,"2016"
"Tue",19,"2016"
"Wed",18,"2016"
"Thu",11,"2016"
"Fri",41,"2016"
"Sat",7,"2016"
"Sun",10,"2017"
"Mon",20,"2017"
"Tue",14,"2017"
"Wed",17,"2017"
"Thu",22,"2017"
"Fri",20,"2017"
"Sat",7,"2017"
"Sun",11,"2018"
"Mon",24,"2018"
"Tue",31,"2018"
"Wed",36,"2018"
"Thu",29,"2018"
"Fri",21,"2018"
"Sat",9,"2018"
"Sun",12,"2019"
"Mon",17,"2019"
"Tue",26,"2019"
"Wed",16,"2019"
"Thu",35,"2019"
"Fri",10,"2019"
"Sat",10,"2019"
