"id_name","event_date","false_creation_date_per_AF_year","creation_date_per_AF_year","id","name","yes_year","dates_yes","rsvp_yes_count","dates_yes_cumsum","days_to_event","yes_day","yes_month","dates_yes_otheryear","relative_today_cumsum","yes_year_factor"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-16,3,3,57,16,1,2020-01-16,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-17,3,6,56,17,1,2020-01-17,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-18,1,7,55,18,1,2020-01-18,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-19,1,8,54,19,1,2020-01-19,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-20,0,8,53,20,1,2020-01-20,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-21,0,8,52,21,1,2020-01-21,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-22,0,8,51,22,1,2020-01-22,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-23,0,8,50,23,1,2020-01-23,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-24,0,8,49,24,1,2020-01-24,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-25,0,8,48,25,1,2020-01-25,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-26,1,9,47,26,1,2020-01-26,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-27,1,10,46,27,1,2020-01-27,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-28,1,11,45,28,1,2020-01-28,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-29,0,11,44,29,1,2020-01-29,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-30,0,11,43,30,1,2020-01-30,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-01-31,0,11,42,31,1,2020-01-31,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-02-01,0,11,41,1,2,2020-02-01,36,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-02-02,0,11,40,2,2,2020-02-02,36,"2015"
