"dates_yes_cumsum","yes_weekday_factor","yes_year_factor"
169,"Friday","2015"
143,"Monday","2015"
133,"Saturday","2015"
137,"Sunday","2015"
161,"Thursday","2015"
150,"Tuesday","2015"
158,"Wednesday","2015"
418,"Friday","2016"
329,"Monday","2016"
301,"Saturday","2016"
306,"Sunday","2016"
377,"Thursday","2016"
348,"Tuesday","2016"
366,"Wednesday","2016"
286,"Friday","2017"
213,"Monday","2017"
293,"Saturday","2017"
193,"Sunday","2017"
266,"Thursday","2017"
227,"Tuesday","2017"
244,"Wednesday","2017"
513,"Friday","2018"
396,"Monday","2018"
361,"Saturday","2018"
372,"Sunday","2018"
492,"Thursday","2018"
427,"Tuesday","2018"
463,"Wednesday","2018"
186,"Friday","2019"
209,"Monday","2019"
194,"Saturday","2019"
201,"Sunday","2019"
180,"Thursday","2019"
146,"Tuesday","2019"
153,"Wednesday","2019"
