"dates_yes_cumsum_week","yes_weekday_factor","yes_year_factor"
8,"Friday","2015"
6,"Monday","2015"
6,"Saturday","2015"
4,"Sunday","2015"
3,"Thursday","2015"
7,"Tuesday","2015"
8,"Wednesday","2015"
41,"Friday","2016"
23,"Monday","2016"
7,"Saturday","2016"
5,"Sunday","2016"
11,"Thursday","2016"
19,"Tuesday","2016"
18,"Wednesday","2016"
20,"Friday","2017"
20,"Monday","2017"
7,"Saturday","2017"
10,"Sunday","2017"
22,"Thursday","2017"
14,"Tuesday","2017"
17,"Wednesday","2017"
21,"Friday","2018"
24,"Monday","2018"
9,"Saturday","2018"
11,"Sunday","2018"
29,"Thursday","2018"
31,"Tuesday","2018"
36,"Wednesday","2018"
6,"Friday","2019"
8,"Monday","2019"
8,"Saturday","2019"
7,"Sunday","2019"
27,"Thursday","2019"
21,"Tuesday","2019"
15,"Wednesday","2019"
